ds	nj	model	tlim	Sec	Obj
AA	30	DARP1	60	60.008	31141.202
AA	30	DARP2	60	60.015	31143.256
AA	30	DARP3	60	60.008	31120.592
AA	35	DARP1	60	60.013	31346.507
AA	35	DARP2	60	60.002	31312.241
AA	35	DARP3	60	60.002	31302.207
AA	40	DARP1	60	60.003	31580.614
AA	40	DARP2	60	60.004	31577.89
AA	40	DARP3	60	60.01	31516.797
AA	45	DARP1	60	60.009	41706.991000001
AA	45	DARP2	60	60.014	41725.822000001
AA	45	DARP3	60	60.019	41694.847
AA	50	DARP1	60	60.012	41862.035000001
AA	50	DARP2	60	60.007	41848.633000001
AA	50	DARP3	60	60.006	41834.44
AA	55	DARP1	60	60.018	42014.562000001
AA	55	DARP2	60	60.003	41975.316000001
AA	55	DARP3	60	60.012	41986.319
AA	60	DARP1	60	60.075	nfs
AA	60	DARP2	60	60.017	42232.925000001
AA	60	DARP3	60	60.011	42244.402
AA	65	DARP1	60	60.011	nfs
AA	65	DARP2	60	60.05	42507.739000001
AA	65	DARP3	60	60.026	42388.097000001
AA	70	DARP1	60	60.016	52581.868
AA	70	DARP2	60	60.009	52501.25
AA	70	DARP3	60	60.007	52493.743000001
AA	75	DARP1	60	60.032	52598.446000002
AA	75	DARP2	60	60.005	52679.751
AA	75	DARP3	60	60.018	52613.46
BB	30	DARP1	60	60.012	31121.603
BB	30	DARP2	60	60.011	31101.256
BB	30	DARP3	60	60.013	31086.301
BB	35	DARP1	60	60.006	31289.505
BB	35	DARP2	60	60.006	31301.383
BB	35	DARP3	60	60.016	31309.719
BB	40	DARP1	60	60.005	31542.298
BB	40	DARP2	60	60.008	31536.127
BB	40	DARP3	60	60.002	31533.454
BB	45	DARP1	60	60.011	41607.955000001
BB	45	DARP2	60	60.001	41610.966000001
BB	45	DARP3	60	60.007	41599.091
BB	50	DARP1	60	60.01	51759.087000001
BB	50	DARP2	60	60.021	51780.571
BB	50	DARP3	60	60.013	51788.036
BB	55	DARP1	60	60.044	nfs
BB	55	DARP2	60	60.029	nfs
BB	55	DARP3	60	60.048	41994.873000001
BB	60	DARP1	60	60.004	nfs
BB	60	DARP2	60	60.01	62508.759
BB	60	DARP3	60	60.026	62508.289000001
BB	65	DARP1	60	60.042	nfs
BB	65	DARP2	60	60.023	62812.771
BB	65	DARP3	60	60.023	62789.564000002
BB	70	DARP1	60	60.007	73087.444
BB	70	DARP2	60	60.02	73101.312
BB	70	DARP3	60	60.029	73028.051
BB	75	DARP1	60	60.032	73144.198
BB	75	DARP2	60	60.004	73197.155000005
BB	75	DARP3	60	60.012	73165.347
CC	30	DARP1	60	60.011	31120.94
CC	30	DARP2	60	60.001	31162.367
CC	30	DARP3	60	60.016	31151.302
CC	35	DARP1	60	60.01	31281.556
CC	35	DARP2	60	60.004	31303.992
CC	35	DARP3	60	60.018	31257.171
CC	40	DARP1	60	60.018	31487.594
CC	40	DARP2	60	60.002	31401.09
CC	40	DARP3	60	60.009	31414.173
CC	45	DARP1	60	60.033	nfs
CC	45	DARP2	60	60.018	31645.218
CC	45	DARP3	60	60.003	31563.423
CC	50	DARP1	60	60.001	nfs
CC	50	DARP2	60	60.008	41859.682000001
CC	50	DARP3	60	60.014	41793.006
CC	55	DARP1	60	60.018	nfs
CC	55	DARP2	60	60.027	42041.827000001
CC	55	DARP3	60	60.015	42016.645
CC	60	DARP1	60	60.047	nfs
CC	60	DARP2	60	60.028	nfs
CC	60	DARP3	60	60.025	42221.28
CC	65	DARP1	60	60.017	52488.869000002
CC	65	DARP2	60	60.028	52388.924000002
CC	65	DARP3	60	60.019	52417.602000001
CC	70	DARP1	60	60.002	nfs
CC	70	DARP2	60	60.027	52628.102000002
CC	70	DARP3	60	60.028	52598.451000001
CC	75	DARP1	60	60.051	nfs
CC	75	DARP2	60	60.012	52778.983000002
CC	75	DARP3	60	60.017	52667.832
DD	30	DARP1	60	60.013	21192.64
DD	30	DARP2	60	60.006	21161.213
DD	30	DARP3	60	60.014	21196.657
DD	35	DARP1	60	60.008	31286.848
DD	35	DARP2	60	60.002	31306.248
DD	35	DARP3	60	60.012	31307.036
DD	40	DARP1	60	60.01	31453.047
DD	40	DARP2	60	60.011	31524.822
DD	40	DARP3	60	60.011	31473.732
DD	45	DARP1	60	60.007	31617.858
DD	45	DARP2	60	60.017	31653.883
DD	45	DARP3	60	60.012	31600.593
DD	50	DARP1	60	60.009	nfs
DD	50	DARP2	60	60.001	31745.394
DD	50	DARP3	60	60.012	31749.326
DD	55	DARP1	60	60.012	41938.841000001
DD	55	DARP2	60	60.011	41928.586000001
DD	55	DARP3	60	60.014	41970.185
DD	60	DARP1	60	60.016	42004.813000001
DD	60	DARP2	60	60.013	42088.853
DD	60	DARP3	60	60.002	42054.237000001
DD	65	DARP1	60	60.061	nfs
DD	65	DARP2	60	60.004	42384.434000001
DD	65	DARP3	60	60.003	42325.715
DD	70	DARP1	60	60.027	52631.118000002
DD	70	DARP2	60	60.019	52562.3
DD	70	DARP3	60	60.018	52489.713000001
DD	75	DARP1	60	60.024	52732.459000003
DD	75	DARP2	60	60.025	52728.828000003
DD	75	DARP3	60	60.018	52591.830000002
